Exchange,Description,Input_mol,Input_mM,init_conc,init_area,D_fec,D_muc,D_omu,D_imu,D_inter,D_hum,A_fec,A_omu,A_imu,A_hum,A_inter,pde
EX_cpd24344_e0,Aluminum,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd01048_e0,Arsenic,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00305_e0,B1 (Thiamine),,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00166_e0,B12 Ado-Cbl (adenosylcobalamin),,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd01826_e0,B12 CN-Cbl (Cyanocobalamin),,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd12878_e0,B12 Me-Cbl (Methylcobalamin),,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00730_e0,B12 OH-Cbl (Hydroxocobalamin),,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00220_e0,B2 (Riboflavin),,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00644_e0,B5 (pantothenate),,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00263_e0,B6 (Pyridoxine),,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00104_e0,B7 (Biotin),,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00393_e0,B9 (Folate),,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd09693_e0,Barium,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd11159_e0,Bismuth,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd09225_e0,Borate,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd00966_e0,Bromine,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00242_e0,C as Bicarbonate,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00011_e0,C as CO2,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd00063_e0,Calcium,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd24363_e0,Cesium,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00099_e0,Chloride,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd00635_e0,Co as Cob(I)alamin,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00423_e0,Co as Cob(II)alamin,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00149_e0,Co as Cobalt,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd00058_e0,Copper,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd00552_e0,Fluorine,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd00534_e0,Iodide,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd10515_e0,Iron Fe2+,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd10516_e0,Iron Fe3+,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd27384_e0,Lithium,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00254_e0,Magnesium,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd00030_e0,Manganese,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd00531_e0,Mercury,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd11574_e0,Molybdenum,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00013_e0,N as ammonia,,2.72E+02,"""NA""",5,0,,,,,,,,,,,
EX_cpd00528_e0,N as Dinitrogen N2,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00209_e0,N as nitrate,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00075_e0,N as nitrite,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00244_e0,Nickel,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd00007_e0,Oxygen,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd00009_e0,P as Phosphate,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd11632_e0,Photon hn,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd00205_e0,Potassium,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd00067_e0,Proton (H+),,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd17321_e0,Rubidium,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00074_e0,S as Element sulfur S,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00048_e0,S as Sulfate,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd00239_e0,S as Sulfide (H2S),,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00081_e0,S as Sulfite,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00210_e0,S as Taurine,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00268_e0,S as Thiosulfate,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd01079_e0,Selenium,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd15163_e0,Silica,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00971_e0,Sodium,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd09695_e0,Strontium,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd20415_e0,Thorium,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd17038_e0,Uranium,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd12858_e0,Vanadium,,0,"""NA""",5,0,,,,,,,,,,,
EX_cpd00001_e0,Water,,1.00E+04,"""NA""",5,0,,,,,,,,,,,
EX_cpd00034_e0,Zinc,,1.00E+04,"""NA""",5,0,,,,,,,,,,,